"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
-0.35,0.8,0,1.5,-4.6951e-15,-0.375,2.3173e-15,0,0,375,75,0,4.3625e-13,0,0,-0.35,0.2,0,1.0e-9
-0.4,0.8,0,1.5,-8.5e-16,-0.375,1.4275e-15,0,0,375,75,0,2.9389e-13,0,0,-0.4,0.2,0,1.0e-9
-0.45,0.8,0,1.5,-1.9514e-15,-0.375,-7.6292e-17,0,0,375,75,0,-4.6733e-14,0,0,-0.45,0.2,0,1.0e-9
-0.5,0.8,0,1.5,-1.3997e-15,-0.375,5.7942e-16,0,0,375,75,0,2.3002e-14,0,0,-0.5,0.2,0,1.0e-9
0.45,0.8,0,1.5,2.255e-16,-0.375,2.0576e-15,0,0,375,75,0,3.0062e-13,0,0,0.45,0.15,0,1.0e-9
0.5,0.8,0,1.5,-1.0845e-15,-0.375,-3.3053e-15,0,0,375,75,0,-3.9268e-13,0,0,0.5,0.15,0,1.0e-9
0.4,0.8,0,1.5,1.1394e-16,-0.375,1.3057e-15,0,0,375,75,0,1.189e-13,0,0,0.4,0.15,0,1.0e-9
0.35,0.8,0,1.5,1.2347e-15,-0.375,1.226e-15,0,0,375,75,0,2.8772e-13,0,0,0.35,0.15,0,1.0e-9
0.3,0.8,0,1.5,-2.1774e-15,-0.375,-1.0384e-15,0,0,375,75,0,-2.0212e-13,0,0,0.3,0.15,0,1.0e-9
0.25,0.8,0,1.5,-9.7237e-16,-0.375,8.2849e-16,0,0,375,75,0,1.8195e-13,0,0,0.25,0.15,0,1.0e-9
0.2,0.8,0,1.5,-9.9621e-16,-0.375,7.1992e-16,0,0,375,75,0,1.905e-13,0,0,0.2,0.15,0,1.0e-9
0.15,0.8,0,1.5,2.4283e-16,-0.375,5.8904e-16,0,0,375,75,0,1.3325e-13,0,0,0.15,0.15,0,1.0e-9
0.1,0.8,0,1.5,3.1822e-15,-0.375,-5.3811e-16,0,0,375,75,0,-1.1511e-13,0,0,0.1,0.15,0,1.0e-9
0.05,0.8,0,1.5,6.2503e-16,-0.375,-1.7939e-16,0,0,375,75,0,-3.3579e-14,0,0,0.05,0.15,0,1.0e-9
